Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
0,0.849945064,0.602771598,0.190340232,0.577179733,38.23073326
1,0.812781439,0.596540816,0.181584543,0.555588983,40.30181164
2,0.794899555,0.592943737,0.17916196,0.543660877,41.23388286
3,0.794886458,0.591256816,0.184235903,0.538528159,40.88509329
4,0.792378609,0.590756509,0.183406143,0.537323579,41.03671415
5,0.820380838,0.605753808,0.181882554,0.562766231,40.71400984
6,0.81302276,0.593305225,0.179892621,0.556794194,40.0168482
7,0.801069301,0.582453782,0.177663828,0.547851274,39.78277814
8,0.786047657,0.571098886,0.175423661,0.536480905,39.69695458
9,0.763234626,0.559367106,0.173399605,0.518863291,40.10657666
10,0.748456375,0.547385007,0.171819144,0.506946698,39.91013743
11,0.774353299,0.535279157,0.170909765,0.526339053,36.83584898
12,0.766708532,0.523176121,0.170793406,0.51893952,36.02011691
13,0.743477216,0.511202467,0.171153112,0.498567951,36.2048881
14,0.739517694,0.499484761,0.172464826,0.493004463,35.06128876
15,0.751060352,0.48814957,0.185761623,0.489960816,32.30884505
16,0.747650379,0.477323461,0.185132674,0.487277266,31.28552327
17,0.742967907,0.467133,0.183920479,0.484163327,30.43653682
18,0.737851088,0.457704754,0.182252943,0.481167833,29.72049522
19,0.732278526,0.449165289,0.180257972,0.478116587,29.1487754
20,0.725862551,0.441641173,0.17806347,0.474520195,28.75359494
21,0.718614499,0.435258971,0.175797341,0.470245234,28.54419914
22,0.711357073,0.430145251,0.17358749,0.465885232,28.48381273
23,0.704902837,0.426426579,0.171561821,0.462037721,28.53584839
24,0.700057895,0.424229523,0.16984824,0.459300232,28.66216119
25,0.698517594,0.423653363,0.168574651,0.45905066,28.76515318
26,0.708345218,0.423847856,0.167868958,0.468283319,28.25507319
27,0.718021909,0.424809142,0.179749218,0.466779168,27.04337758
28,0.715648532,0.444711872,0.179215617,0.464572496,29.66451519
29,0.711594703,0.442005973,0.178199099,0.461943189,29.64142982
30,0.70696545,0.435869461,0.1768058,0.459171139,29.24927627
31,0.702165002,0.428151724,0.175141854,0.456536236,28.6819088
32,0.697637633,0.420702148,0.173313399,0.454318368,28.1365471
33,0.693890748,0.41537012,0.171426569,0.452797424,27.81182252
34,0.691715992,0.422261468,0.169587499,0.452254374,28.93698083
35,0.691932887,0.432659,0.167902327,0.453832057,30.34609984
36,0.694131382,0.436599255,0.166477187,0.457005294,30.78923954
37,0.696257223,0.437031907,0.165418215,0.459761794,30.77194663
38,0.697180021,0.422101252,0.164831546,0.461113288,28.8934958
39,0.70773336,0.400099464,0.176734961,0.461784373,24.76486693
40,0.70968808,0.428169766,0.176147313,0.462295159,28.17186585
41,0.708357255,0.407162425,0.175027931,0.463165692,25.72448858
42,0.708997975,0.408483541,0.173493809,0.46491602,25.95905181
43,0.710993272,0.410876969,0.17166194,0.468066187,26.26991638
44,0.72284608,0.413501681,0.169649317,0.480200266,26.08982771
45,0.722268737,0.415516646,0.167572933,0.481279734,26.49728489
46,0.720971817,0.415814932,0.16554978,0.481791973,26.73430824
47,0.718853634,0.407677073,0.163696853,0.48195241,26.00251814
48,0.716499029,0.396788546,0.162131143,0.481976474,24.93800202
49,0.715244347,0.393549188,0.160969644,0.482079592,24.69667787
50,0.715145951,0.393941027,0.160329349,0.482477192,24.79183528
51,0.725648546,0.39558864,0.170803106,0.483384702,23.74849709
52,0.731222372,0.422137437,0.172214947,0.485017551,26.50336008
53,0.758040979,0.421918157,0.171642289,0.509646929,25.16871242
54,0.760671306,0.421400211,0.170568103,0.512953903,25.05464546
55,0.761329239,0.420627385,0.16911653,0.514806447,25.03048109
56,0.763818512,0.419643462,0.16741171,0.518545271,24.91376305
57,0.766405245,0.41849223,0.165577785,0.522495368,24.78412379
58,0.768711165,0.417217471,0.163738893,0.526208446,24.65610742
59,0.770509314,0.415821553,0.162019177,0.529376662,24.5321637
60,0.771662854,0.413093824,0.160542776,0.531893566,24.28035612
61,0.772919647,0.409253656,0.15943383,0.534334982,23.88463579
62,0.775169903,0.405387145,0.158816482,0.537321096,23.41632758
63,0.792871285,0.402580386,0.175247737,0.541048041,21.33859127
64,0.80174192,0.431164515,0.174856628,0.545896746,23.99229471
65,0.841018455,0.429535438,0.174102634,0.582812535,22.3063214
66,0.842158311,0.425958401,0.173065074,0.585176537,21.97899283
67,0.841426982,0.421483516,0.171823267,0.586110864,21.64735382
68,0.853344648,0.417160897,0.170456533,0.598938847,20.89877125
69,0.853619372,0.414040659,0.16904419,0.600789437,20.68055079
70,0.856891277,0.437134814,0.167665558,0.601598396,22.82463856
71,0.854534082,0.426093178,0.166399955,0.601884854,21.94158189
72,0.851095725,0.408728246,0.165326702,0.602167938,20.49068152
73,0.851513152,0.410016516,0.164525116,0.602966777,20.64598911
74,0.854732979,0.415282957,0.164074517,0.605487867,21.05732442
75,0.875490504,0.416461644,0.175226657,0.61614579,19.82013205
76,0.881949842,0.441661828,0.174602755,0.618673575,21.95213785
77,0.884444664,0.449244007,0.173435716,0.620887892,22.62525857
78,0.882531385,0.431383068,0.171901313,0.622840543,21.14903146
79,0.880582437,0.417927497,0.170175317,0.624543438,20.09309097
80,0.882757711,0.429719055,0.168433502,0.626008482,21.19017145
81,0.885497901,0.448071033,0.16685164,0.627247583,22.84706693
